,paper_id,outdegree,sum_outdegrees_successors,avg_outdegree_successors
0,1001,83,1819,21.91566265060241
1,9304045,1,0,0.0
2,9308122,7,0,0.0
3,9309097,4,0,0.0
4,9311042,2,0,0.0
5,9401139,40,76,1.9
6,9404151,2,19,9.5
7,9407087,9,69,7.666666666666667
8,9408099,7,32,4.571428571428571
9,9501030,27,270,10.0
10,9503124,10,152,15.2
11,9504090,4,16,4.0
12,9504145,2,4,2.0
13,9505025,14,174,12.428571428571429
14,9505054,10,153,15.3
15,9505105,21,234,11.142857142857142
16,9505162,25,277,11.08
17,9506048,7,133,19.0
18,9506112,17,249,14.647058823529411
19,9506144,15,224,14.933333333333334
20,9507050,19,247,13.0
21,9507158,16,242,15.125
22,9508094,29,452,15.586206896551724
23,9508155,53,827,15.60377358490566
24,9510142,28,457,16.321428571428573
25,9510225,22,292,13.272727272727273
26,9510234,37,570,15.405405405405405
27,9511030,21,293,13.952380952380953
28,9511171,22,427,19.40909090909091
29,9601108,39,643,16.487179487179485
30,9602022,25,410,16.4
31,9602114,35,703,20.085714285714285
32,9603003,20,339,16.95
33,9603150,26,519,19.96153846153846
34,9603161,32,564,17.625
35,9603167,16,266,16.625
36,9605184,22,423,19.227272727272727
37,9605222,23,246,10.695652173913043
38,9606017,14,256,18.285714285714285
39,9606040,6,128,21.333333333333332
40,9607163,7,104,14.857142857142858
41,9607207,11,144,13.090909090909092
42,9608086,10,197,19.7
43,9609070,15,370,24.666666666666668
44,9609071,30,714,23.8
45,9609239,41,740,18.048780487804876
46,9611137,65,1250,19.23076923076923
47,9612108,25,553,22.12
48,9701162,24,605,25.208333333333332
49,9702094,37,724,19.56756756756757
50,9702155,30,369,12.3
51,9702198,31,759,24.483870967741936
52,9703082,30,434,14.466666666666667
53,9703166,22,324,14.727272727272727
54,9704097,30,760,25.333333333333332
55,9705030,26,543,20.884615384615383
56,9705044,27,472,17.48148148148148
57,9705104,34,773,22.735294117647058
58,9705220,56,1263,22.553571428571427
59,9706005,15,348,23.2
60,9707014,20,513,25.65
61,9707042,18,316,17.555555555555557
62,9707049,25,743,29.72
63,9710230,10,152,15.2
64,9711036,23,424,18.434782608695652
65,9711104,7,91,13.0
66,9712028,26,622,23.923076923076923
67,9712042,7,150,21.428571428571427
68,9802194,22,557,25.318181818181817
69,9805056,13,268,20.615384615384617
70,9805206,20,499,24.95
71,9806094,21,510,24.285714285714285
72,9810188,30,516,17.2
73,9811217,58,1496,25.79310344827586
74,9905036,18,327,18.166666666666668
75,9907041,4,65,16.25
76,9908007,27,442,16.37037037037037
77,9908144,41,1026,25.024390243902438
78,9909108,24,436,18.166666666666668
79,9909120,4,40,10.0
80,9909229,27,587,21.74074074074074
81,9910238,21,363,17.285714285714285
82,9910248,31,700,22.580645161290324
83,9910268,27,805,29.814814814814813
84,1002,36,696,19.333333333333332
85,9201007,0,0,0.0
86,9204031,0,0,0.0
87,9210123,6,6,1.0
88,9304062,4,6,1.5
89,9306005,0,0,0.0
90,9402089,8,10,1.25
91,9604090,37,443,11.972972972972974
92,9803235,40,638,15.95
93,9807051,24,411,17.125
94,9809015,18,350,19.444444444444443
95,9810063,21,403,19.19047619047619
96,9812035,19,386,20.31578947368421
97,9902125,23,511,22.217391304347824
98,9902155,16,389,24.3125
99,9904017,42,911,21.69047619047619
100,9905012,7,160,22.857142857142858
101,9905210,29,744,25.655172413793103
102,9906064,6,732,122.0
103,9906194,30,756,25.2
104,9907070,47,1168,24.851063829787233
105,9907209,4,52,13.0
106,9908076,6,664,110.66666666666667
107,9908116,17,402,23.647058823529413
108,9908186,16,258,16.125
109,9909001,11,146,13.272727272727273
110,9909041,28,710,25.357142857142858
111,9909053,8,193,24.125
112,9909058,24,543,22.625
113,9909121,32,850,26.5625
114,9909134,29,639,22.03448275862069
115,9910149,17,387,22.764705882352942
116,9910219,9,196,21.77777777777778
117,9912012,18,391,21.72222222222222
118,9912118,18,224,12.444444444444445
119,9912132,52,1273,24.48076923076923
120,9912187,30,623,20.766666666666666
121,1003,1,7,7.0
122,9912242,7,49,7.0
123,1004,1,0,0.0
124,9810131,0,0,0.0
125,1005,21,271,12.904761904761905
126,9311183,1,0,0.0
127,9506135,1,3,3.0
128,9601078,6,17,2.8333333333333335
129,9603097,13,156,12.0
130,9611092,4,15,3.75
131,9611194,4,13,3.25
132,9712257,29,464,16.0
133,9805026,8,89,11.125
134,9811178,8,51,6.375
135,9901099,11,71,6.454545454545454
136,9902132,18,192,10.666666666666666
137,9904145,6,124,20.666666666666668
138,9908025,25,388,15.52
139,9908036,32,276,8.625
140,9908040,38,695,18.289473684210527
141,9909030,16,234,14.625
142,9909114,10,117,11.7
143,9909140,5,66,13.2
144,9909163,15,255,17.0
145,9910148,10,52,5.2
146,9912239,11,135,12.272727272727273
147,1006,1,3,3.0
148,9910243,3,22,7.333333333333333
149,1007,4,39,9.75
150,9405171,0,0,0.0
151,9807069,2,1,0.5
152,9901148,21,443,21.095238095238095
153,9911150,16,143,8.9375
154,1008,6,11,1.8333333333333333
155,9301008,0,0,0.0
156,9301014,0,0,0.0
157,9303112,0,0,0.0
158,9405029,6,0,0.0
159,9409139,3,2,0.6666666666666666
160,9507046,2,3,1.5
161,1009,1,0,0.0
162,9610215,0,0,0.0
163,1010,5,133,26.6
164,9603136,17,151,8.882352941176471
165,9608174,3,25,8.333333333333334
166,9706225,16,213,13.3125
167,9808157,25,576,23.04
168,9901128,72,1420,19.72222222222222
169,1011,20,572,28.6
170,9510135,15,173,11.533333333333333
171,9610043,19,334,17.57894736842105
172,9612115,5,57,11.4
173,9703038,17,310,18.235294117647058
174,9703078,10,114,11.4
175,9708039,21,411,19.571428571428573
176,9710231,121,2774,22.925619834710744
177,9711162,18,351,19.5
178,9711200,54,1212,22.444444444444443
179,9712072,39,714,18.307692307692307
180,9804041,18,359,19.944444444444443
181,9804163,14,282,20.142857142857142
182,9805069,17,432,25.41176470588235
183,9902004,37,818,22.10810810810811
184,9903205,17,382,22.470588235294116
185,9907211,19,424,22.31578947368421
186,9908019,24,722,30.083333333333332
187,9908142,75,1448,19.30666666666667
188,9909081,2,94,47.0
189,9909176,30,705,23.5
190,1012,10,40,4.0
191,9205059,0,0,0.0
192,9206053,1,0,0.0
193,9302035,0,0,0.0
194,9306002,2,0,0.0
195,9403141,8,10,1.25
196,9405136,6,10,1.6666666666666667
197,9506136,0,0,0.0
198,9507109,5,15,3.0
199,9702190,6,24,4.0
200,9911110,12,95,7.916666666666667
201,1013,11,120,10.909090909090908
202,9909076,14,189,13.5
203,9909127,18,243,13.5
204,9909130,5,113,22.6
205,9909205,11,182,16.545454545454547
206,9911055,5,41,8.2
207,9911234,18,310,17.22222222222222
208,9912276,2,25,12.5
209,1014,8,25,3.125
210,9502097,0,0,0.0
211,9606100,1,1,1.0
212,9803011,4,6,1.5
213,9806244,13,44,3.3846153846153846
214,9807215,1,3,3.0
215,9903055,4,8,2.0
216,9903266,0,0,0.0
217,9904136,2,2,1.0
218,1015,1,3,3.0
219,9811016,3,19,6.333333333333333
220,1016,19,306,16.105263157894736
221,9607049,2,0,0.0
222,9711002,6,107,17.833333333333332
223,9802109,12,346,28.833333333333332
224,9802150,22,436,19.818181818181817
225,9805114,6,156,26.0
226,9806087,21,468,22.285714285714285
227,9806217,23,581,25.26086956521739
228,9807226,16,307,19.1875
229,9808057,1,4,4.0
230,9810126,13,285,21.923076923076923
231,9902012,20,565,28.25
232,9903190,17,365,21.470588235294116
233,9903241,13,306,23.53846153846154
234,9906164,13,183,14.076923076923077
235,9907158,13,272,20.923076923076923
