,first_365_days,label,label_name
1001,4.0,1,"(0, 10]"
1002,35.0,3,"(20, 405]"
1003,14.0,2,"(10, 20]"
1004,1.0,1,"(0, 10]"
1005,1.0,1,"(0, 10]"
1006,1.0,1,"(0, 10]"
1008,1.0,1,"(0, 10]"
1009,1.0,1,"(0, 10]"
1010,5.0,1,"(0, 10]"
1011,3.0,1,"(0, 10]"
1012,3.0,1,"(0, 10]"
1013,10.0,1,"(0, 10]"
1014,1.0,1,"(0, 10]"
1016,5.0,1,"(0, 10]"
1017,1.0,1,"(0, 10]"
1018,8.0,1,"(0, 10]"
1019,3.0,1,"(0, 10]"
1021,2.0,1,"(0, 10]"
1022,1.0,1,"(0, 10]"
1023,2.0,1,"(0, 10]"
1024,7.0,1,"(0, 10]"
1025,10.0,1,"(0, 10]"
1027,27.0,3,"(20, 405]"
1028,1.0,1,"(0, 10]"
1029,1.0,1,"(0, 10]"
1031,2.0,1,"(0, 10]"
1032,17.0,2,"(10, 20]"
1033,59.0,3,"(20, 405]"
1035,15.0,2,"(10, 20]"
1036,6.0,1,"(0, 10]"
1037,23.0,3,"(20, 405]"
1038,1.0,1,"(0, 10]"
1039,0.0,0,"(-1, 0]"
1040,1.0,1,"(0, 10]"
1041,19.0,2,"(10, 20]"
1042,1.0,1,"(0, 10]"
1044,2.0,1,"(0, 10]"
1046,2.0,1,"(0, 10]"
1047,3.0,1,"(0, 10]"
1048,0.0,0,"(-1, 0]"
1049,6.0,1,"(0, 10]"
1050,2.0,1,"(0, 10]"
1051,0.0,0,"(-1, 0]"
1053,26.0,3,"(20, 405]"
1054,4.0,1,"(0, 10]"
1055,12.0,2,"(10, 20]"
1056,17.0,2,"(10, 20]"
1057,1.0,1,"(0, 10]"
1060,1.0,1,"(0, 10]"
1061,1.0,1,"(0, 10]"
1062,1.0,1,"(0, 10]"
1063,9.0,1,"(0, 10]"
1064,1.0,1,"(0, 10]"
1065,3.0,1,"(0, 10]"
1066,9.0,1,"(0, 10]"
1067,1.0,1,"(0, 10]"
1068,5.0,1,"(0, 10]"
1070,1.0,1,"(0, 10]"
1071,55.0,3,"(20, 405]"
1072,2.0,1,"(0, 10]"
1073,6.0,1,"(0, 10]"
1074,0.0,0,"(-1, 0]"
1076,0.0,0,"(-1, 0]"
1077,3.0,1,"(0, 10]"
1081,1.0,1,"(0, 10]"
1082,17.0,2,"(10, 20]"
1083,4.0,1,"(0, 10]"
1084,51.0,3,"(20, 405]"
1085,2.0,1,"(0, 10]"
1086,2.0,1,"(0, 10]"
1088,1.0,1,"(0, 10]"
1089,11.0,2,"(10, 20]"
1090,0.0,0,"(-1, 0]"
1091,1.0,1,"(0, 10]"
1092,14.0,2,"(10, 20]"
1093,1.0,1,"(0, 10]"
1095,0.0,0,"(-1, 0]"
1096,0.0,0,"(-1, 0]"
1097,3.0,1,"(0, 10]"
1098,3.0,1,"(0, 10]"
1100,1.0,1,"(0, 10]"
1101,1.0,1,"(0, 10]"
1102,0.0,0,"(-1, 0]"
1103,16.0,2,"(10, 20]"
1105,6.0,1,"(0, 10]"
1106,2.0,1,"(0, 10]"
1107,15.0,2,"(10, 20]"
1108,0.0,0,"(-1, 0]"
1109,1.0,1,"(0, 10]"
1110,0.0,0,"(-1, 0]"
1111,12.0,2,"(10, 20]"
1112,6.0,1,"(0, 10]"
1113,0.0,0,"(-1, 0]"
1114,1.0,1,"(0, 10]"
1115,1.0,1,"(0, 10]"
1118,9.0,1,"(0, 10]"
1119,1.0,1,"(0, 10]"
1121,0.0,0,"(-1, 0]"
1122,11.0,2,"(10, 20]"
1123,7.0,1,"(0, 10]"
1124,3.0,1,"(0, 10]"
1125,1.0,1,"(0, 10]"
1126,11.0,2,"(10, 20]"
1127,4.0,1,"(0, 10]"
1128,6.0,1,"(0, 10]"
1129,4.0,1,"(0, 10]"
1130,3.0,1,"(0, 10]"
1131,8.0,1,"(0, 10]"
1132,20.0,2,"(10, 20]"
1133,7.0,1,"(0, 10]"
1134,1.0,1,"(0, 10]"
1135,8.0,1,"(0, 10]"
1136,1.0,1,"(0, 10]"
1137,5.0,1,"(0, 10]"
1138,8.0,1,"(0, 10]"
1140,0.0,0,"(-1, 0]"
1141,0.0,0,"(-1, 0]"
1143,25.0,3,"(20, 405]"
1144,9.0,1,"(0, 10]"
1145,5.0,1,"(0, 10]"
1149,1.0,1,"(0, 10]"
1150,1.0,1,"(0, 10]"
1151,3.0,1,"(0, 10]"
1152,0.0,0,"(-1, 0]"
1155,0.0,0,"(-1, 0]"
1156,0.0,0,"(-1, 0]"
1157,1.0,1,"(0, 10]"
1158,1.0,1,"(0, 10]"
1159,39.0,3,"(20, 405]"
1160,0.0,0,"(-1, 0]"
1161,3.0,1,"(0, 10]"
1162,2.0,1,"(0, 10]"
1163,2.0,1,"(0, 10]"
1164,2.0,1,"(0, 10]"
1165,2.0,1,"(0, 10]"
1166,8.0,1,"(0, 10]"
1167,16.0,2,"(10, 20]"
1168,4.0,1,"(0, 10]"
1169,0.0,0,"(-1, 0]"
1170,5.0,1,"(0, 10]"
1171,1.0,1,"(0, 10]"
1172,0.0,0,"(-1, 0]"
1173,2.0,1,"(0, 10]"
1174,2.0,1,"(0, 10]"
1175,3.0,1,"(0, 10]"
1176,1.0,1,"(0, 10]"
1177,3.0,1,"(0, 10]"
1178,14.0,2,"(10, 20]"
1179,5.0,1,"(0, 10]"
